context,prompt_bn,response_bn,label
[NULL],দুই অঙ্কবিশিষ্ট একটি সংখ্যার এককের অঙ্ক দশকের অঙ্ক অপেক্ষা ১ বেশি। সংখ্যাটি এর অঙ্কদ্বয়ের সমষ্টির ২ গুণ অপেক্ষা ২৭ বেশি। সংখ্যাটি কত?,৫২,0
"ফরিদা মুখোপাধ্যায় (১৯৫৪ সালে সিলেট অঞ্চলে জন্মগ্রহণ করেন) একজন প্রখ্যাত অর্থনীতিবিদ ছিলেন। তাঁর অন্যতম সৃষ্টি ""অন্ধকারের উৎস""। ১৯৮৯ সালে তাঁকে বাংলা একাডেমি পুরস্কারে ভূষিত করা হয়। ১৯৯৩ সালে তিনি মৃত্যুবরণ করেন।",ফরিদা মুখোপাধ্যায় কত সালে মৃত্যুবরণ করেন?,১৯৭৩,0
[NULL],"১৯৫, ১৩৫ ও ৯৬ সংখ্যা তিনটির গড় কত?",১৪২,1
চট্টগ্রাম জেলা বাংলাদেশের পূর্বাঞ্চলে অবস্থিত। এর মোট আয়তন ৫০০৫ বর্গকিলোমিটার এবং জনসংখ্যা প্রায় ১০০০০০০। জেলাটি ১৯০৮ সালে প্রশাসনিকভাবে প্রতিষ্ঠিত হয়। এই জেলার সর্বোচ্চ পাহাড়ের উচ্চতা ৪৬০ মিটার।,চট্টগ্রাম জেলা কত সালে প্রতিষ্ঠিত হয়?,১৯০৮,1
[NULL],দুই অঙ্কবিশিষ্ট একটি সংখ্যার এককের অঙ্ক দশকের অঙ্ক অপেক্ষা ২ বেশি। সংখ্যাটি এর অঙ্কদ্বয়ের সমষ্টির ৩ গুণ অপেক্ষা ৬ বেশি। সংখ্যাটি কত?,২৪,1
"অতুল খান (১৯৪৫ সালে কুমিল্লা অঞ্চলে জন্মগ্রহণ করেন) একজন প্রখ্যাত রাজনীতিবিদ ছিলেন। তাঁর অন্যতম সৃষ্টি ""অগ্নিপথ""। ১৯৯১ সালে তাঁকে সাহিত্য অকাদেমি পুরস্কারে ভূষিত করা হয়। ২০০৭ সালে তিনি মৃত্যুবরণ করেন।",অতুল খান কত সালে জন্মগ্রহণ করেন?,১৯৪৫,1
[NULL],"ইংরেজি ""competent"" শব্দের বাংলা অর্থ কী?",প্রচুর,0
ল্যাবেঙ্গল সফটওয়্যার ২০০৩ সালে বাজারে আসে। এটি প্রথম তৈরি করেন বিভূতি রহমান। সফটওয়্যারটি পাইথন প্রোগ্রামিং ভাষায় লেখা হয়েছিল।,ল্যাবেঙ্গল সফটওয়্যার কোন প্রোগ্রামিং ভাষায় লেখা হয়েছিল?,পাইথন,1
"জাহানারা খান (১৯১০ সালে বগুড়া অঞ্চলে জন্মগ্রহণ করেন) একজন প্রখ্যাত রাজনীতিবিদ ছিলেন। তাঁর অন্যতম সৃষ্টি ""কুয়াশার রেখা""। ১৯৪৮ সালে তাঁকে একুশে পদকে ভূষিত করা হয়। ১৯৬২ সালে তিনি মৃত্যুবরণ করেন।",জাহানারা খান পেশায় কী ছিলেন?,রাজনীতিবিদ,1
"প্রমথ রহমান (১৮৮৫ সালে দিনাজপুর অঞ্চলে জন্মগ্রহণ করেন) একজন প্রখ্যাত বিজ্ঞানী ছিলেন। তাঁর অন্যতম সৃষ্টি ""মেঘবালিকা""। ১৯৫১ সালে তাঁকে একুশে পদকে ভূষিত করা হয়। ১৯৬৩ সালে তিনি মৃত্যুবরণ করেন।",প্রমথ রহমান পেশায় কী ছিলেন?,সংগীতশিল্পী,0
বর্ণ সফটওয়্যার ১৯৯৮ সালে বাজারে আসে। এটি প্রথম তৈরি করেন প্রমথ মুখোপাধ্যায়। সফটওয়্যারটি সি++ প্রোগ্রামিং ভাষায় লেখা হয়েছিল।,বর্ণ সফটওয়্যার কত সালে বাজারে আসে?,১৯৯২,0
[NULL],"ইংরেজি ""reluctant"" শব্দের বাংলা অর্থ কী?",দুর্লভ,0
[NULL],সৌরজগতের বৃহত্তম গ্রহ কোনটি?,শনি,0
"হুমায়ুন চৌধুরী (১৮৯১ সালে রংপুর অঞ্চলে জন্মগ্রহণ করেন) একজন প্রখ্যাত বিজ্ঞানী ছিলেন। তাঁর অন্যতম সৃষ্টি ""বৃষ্টির শহর""। ১৯৩১ সালে তাঁকে স্বাধীনতা পুরস্কারে ভূষিত করা হয়। ১৯৩৪ সালে তিনি মৃত্যুবরণ করেন।",হুমায়ুন চৌধুরী পেশায় কী ছিলেন?,বিজ্ঞানী,1
ল্যাবেঙ্গল সফটওয়্যার ২০০৯ সালে বাজারে আসে। এটি প্রথম তৈরি করেন কামরুল চৌধুরী। সফটওয়্যারটি পাইথন প্রোগ্রামিং ভাষায় লেখা হয়েছিল।,ল্যাবেঙ্গল সফটওয়্যার কত সালে বাজারে আসে?,২০০৯,1
শীতলক্ষ্যা নদী বাংলাদেশের একটি গুরুত্বপূর্ণ নদী। এর দৈর্ঘ্য প্রায় ৪৭১ কিলোমিটার। নদীটি যশোর অঞ্চল থেকে উৎপন্ন হয়ে হুগলি অঞ্চলে প্রবাহিত হয়েছে।,শীতলক্ষ্যা নদী-এর দৈর্ঘ্য কত?,৪৭১ কিলোমিটার,1
[NULL],৫০০ টাকার ১০% কত টাকা?,৪০ টাকা,0
টাঙ্গাইল জেলা বাংলাদেশের পূর্বাঞ্চলে অবস্থিত। এর মোট আয়তন ৭৩৯৯ বর্গকিলোমিটার এবং জনসংখ্যা প্রায় ৬০০০০০০। জেলাটি ১৮৭১ সালে প্রশাসনিকভাবে প্রতিষ্ঠিত হয়। এই জেলার সর্বোচ্চ পাহাড়ের উচ্চতা ৩১১ মিটার।,টাঙ্গাইল জেলা-এর আয়তন কত?,৫৫১০ বর্গকিলোমিটার,0
"রফিকুল আহমেদ (১৯৭৭ সালে ঢাকা অঞ্চলে জন্মগ্রহণ করেন) একজন প্রখ্যাত ভাষাবিদ ছিলেন। তাঁর অন্যতম সৃষ্টি ""নদীর ওপারে""। ২০২০ সালে তাঁকে সাহিত্য অকাদেমি পুরস্কারে ভূষিত করা হয়। ২০২৩ সালে তিনি মৃত্যুবরণ করেন।",রফিকুল আহমেদ কোথায় জন্মগ্রহণ করেন?,খুলনা,0
[NULL],রক্তকে লাল রঙ প্রদানকারী উপাদানে কোন ধাতু থাকে?,দস্তা,0
[NULL],"""scarce"" শব্দের অর্থ কী?",অনমনীয়,0
শীতলক্ষ্যা নদী বাংলাদেশের একটি গুরুত্বপূর্ণ নদী। এর দৈর্ঘ্য প্রায় ১৭৬ কিলোমিটার। নদীটি ঢাকা অঞ্চল থেকে উৎপন্ন হয়ে যশোর অঞ্চলে প্রবাহিত হয়েছে।,শীতলক্ষ্যা নদী কোন অঞ্চল থেকে উৎপন্ন হয়েছে?,পুরুলিয়া,0
"অমিয় খান (১৯৫৯ সালে নোয়াখালী অঞ্চলে জন্মগ্রহণ করেন) একজন প্রখ্যাত বিজ্ঞানী ছিলেন। তাঁর অন্যতম সৃষ্টি ""রক্তকরবীর মাঠ""। ২০২২ সালে তাঁকে বাংলা একাডেমি পুরস্কারে ভূষিত করা হয়। ২০২২ সালে তিনি মৃত্যুবরণ করেন।",অমিয় খান কত সালে জন্মগ্রহণ করেন?,১৯৫৯,1
[NULL],একটি দোকানে ৬১৭টি চেয়ার ছিল। ৭১টি বিক্রি হয়ে গেলে কতটি চেয়ার অবশিষ্ট থাকে?,৫৪৬,1
[NULL],২৮ ও ৮ এর গুণফল কত?,২২৪,1
[NULL],"""কাঠের পুতুল"" এর ভাবার্থ কী?",নির্জীব বা অসাড়,1
[NULL],একটি দোকানে ৪৯৬টি খাতা ছিল। ৪৭৪টি বিক্রি হয়ে গেলে কতটি খাতা অবশিষ্ট থাকে?,১৯,0
পাবনা জেলা বাংলাদেশের উত্তরবঙ্গে অবস্থিত। এর মোট আয়তন ১৪৬৬ বর্গকিলোমিটার এবং জনসংখ্যা প্রায় ৩৮০০০০০। জেলাটি ১৯৫৬ সালে প্রশাসনিকভাবে প্রতিষ্ঠিত হয়। এই জেলার সর্বোচ্চ পাহাড়ের উচ্চতা ৭৪৩ মিটার।,পাবনা জেলা-এর সর্বোচ্চ পাহাড়ের উচ্চতা কত?,৭৪৩ মিটার,1
[NULL],আয়তনে পৃথিবীর ক্ষুদ্রতম দেশ কোনটি?,ভ্যাটিকান সিটি,1
পুঠি সফটওয়্যার ২০১৩ সালে বাজারে আসে। এটি প্রথম তৈরি করেন বেগম বসু। সফটওয়্যারটি ভিজুয়াল বেসিক প্রোগ্রামিং ভাষায় লেখা হয়েছিল।,পুঠি সফটওয়্যার কত সালে বাজারে আসে?,২০১৩,1
বরিশাল জেলা বাংলাদেশের পশ্চিমাঞ্চলে অবস্থিত। এর মোট আয়তন ২৪৭৬ বর্গকিলোমিটার এবং জনসংখ্যা প্রায় ৪৯০০০০০। জেলাটি ১৮১৭ সালে প্রশাসনিকভাবে প্রতিষ্ঠিত হয়। এই জেলার সর্বোচ্চ পাহাড়ের উচ্চতা ৩৭৬ মিটার।,বরিশাল জেলা কত সালে প্রতিষ্ঠিত হয়?,১৮১৭,1
বুড়িগঙ্গা নদী বাংলাদেশের একটি গুরুত্বপূর্ণ নদী। এর দৈর্ঘ্য প্রায় ২৭২ কিলোমিটার। নদীটি টাঙ্গাইল অঞ্চল থেকে উৎপন্ন হয়ে ময়মনসিংহ অঞ্চলে প্রবাহিত হয়েছে।,বুড়িগঙ্গা নদী কোন অঞ্চল থেকে উৎপন্ন হয়েছে?,টাঙ্গাইল,1
কুমিল্লা জেলা বাংলাদেশের মধ্যাঞ্চলে অবস্থিত। এর মোট আয়তন ৬১৭৩ বর্গকিলোমিটার এবং জনসংখ্যা প্রায় ৫৬০০০০০। জেলাটি ১৯৪৫ সালে প্রশাসনিকভাবে প্রতিষ্ঠিত হয়। এই জেলার সর্বোচ্চ পাহাড়ের উচ্চতা ৩৭৩ মিটার।,কুমিল্লা জেলা কত সালে প্রতিষ্ঠিত হয়?,১৯৩২,0
নিকশ সফটওয়্যার ২০১৭ সালে বাজারে আসে। এটি প্রথম তৈরি করেন সুফিয়া আহমেদ। সফটওয়্যারটি ভিজুয়াল বেসিক প্রোগ্রামিং ভাষায় লেখা হয়েছিল।,নিকশ সফটওয়্যার কে তৈরি করেন?,সুফিয়া আহমেদ,1
"আনিসুল ভট্টাচার্য (১৯১৯ সালে রাজশাহী অঞ্চলে জন্মগ্রহণ করেন) একজন প্রখ্যাত বিজ্ঞানী ছিলেন। তাঁর অন্যতম সৃষ্টি ""সোনালি ধান""। ১৯৬০ সালে তাঁকে বাংলা একাডেমি পুরস্কারে ভূষিত করা হয়। ১৯৬১ সালে তিনি মৃত্যুবরণ করেন।",আনিসুল ভট্টাচার্য কোথায় জন্মগ্রহণ করেন?,পাবনা,0
"ফরিদা মজুমদার (১৯৭৫ সালে রাজশাহী অঞ্চলে জন্মগ্রহণ করেন) একজন প্রখ্যাত বিজ্ঞানী ছিলেন। তাঁর অন্যতম সৃষ্টি ""অগ্নিপথ""। ২০০৯ সালে তাঁকে সাহিত্য অকাদেমি পুরস্কারে ভূষিত করা হয়। ২০২৫ সালে তিনি মৃত্যুবরণ করেন।",ফরিদা মজুমদার কত সালে সাহিত্য অকাদেমি পুরস্কার লাভ করেন?,২০০৯,1
[NULL],"১৬৩, ২৮৭ ও ১৫৩ সংখ্যা তিনটির গড় কত?",২১০,0
নিকশ সফটওয়্যার ২০০৮ সালে বাজারে আসে। এটি প্রথম তৈরি করেন অতুল মুখোপাধ্যায়। সফটওয়্যারটি সি++ প্রোগ্রামিং ভাষায় লেখা হয়েছিল।,নিকশ সফটওয়্যার কে তৈরি করেন?,২০০৮,0
বাঁকুড়া জেলা বাংলাদেশের মধ্যাঞ্চলে অবস্থিত। এর মোট আয়তন ৭১৭৩ বর্গকিলোমিটার এবং জনসংখ্যা প্রায় ৩০০০০০০। জেলাটি ১৮৭২ সালে প্রশাসনিকভাবে প্রতিষ্ঠিত হয়। এই জেলার সর্বোচ্চ পাহাড়ের উচ্চতা ১৪৮ মিটার।,বাঁকুড়া জেলা-এর সর্বোচ্চ পাহাড়ের উচ্চতা কত?,১৪৮ মিটার,1
[NULL],"১১৪, ১৯ ও ২৪২ সংখ্যা তিনটির গড় কত?",১২৫,1
ঢাকা জেলা বাংলাদেশের পূর্বাঞ্চলে অবস্থিত। এর মোট আয়তন ৭৮৬৬ বর্গকিলোমিটার এবং জনসংখ্যা প্রায় ৪২০০০০০। জেলাটি ১৯২৪ সালে প্রশাসনিকভাবে প্রতিষ্ঠিত হয়। এই জেলার সর্বোচ্চ পাহাড়ের উচ্চতা ২০৩ মিটার।,ঢাকা জেলা-এর সর্বোচ্চ পাহাড়ের উচ্চতা কত?,-৬৯ মিটার,0
নোয়াখালী জেলা বাংলাদেশের পশ্চিমাঞ্চলে অবস্থিত। এর মোট আয়তন ৫১৫৩ বর্গকিলোমিটার এবং জনসংখ্যা প্রায় ৪১০০০০০। জেলাটি ১৭৯৩ সালে প্রশাসনিকভাবে প্রতিষ্ঠিত হয়। এই জেলার সর্বোচ্চ পাহাড়ের উচ্চতা ২৩৪ মিটার।,নোয়াখালী জেলা-এর সর্বোচ্চ পাহাড়ের উচ্চতা কত?,২৩৪ মিটার,1
দিনাজপুর জেলা বাংলাদেশের মধ্যাঞ্চলে অবস্থিত। এর মোট আয়তন ৪০৪২ বর্গকিলোমিটার এবং জনসংখ্যা প্রায় ৩১০০০০০। জেলাটি ১৯৫০ সালে প্রশাসনিকভাবে প্রতিষ্ঠিত হয়। এই জেলার সর্বোচ্চ পাহাড়ের উচ্চতা ৩৪৬ মিটার।,দিনাজপুর জেলা-এর সর্বোচ্চ পাহাড়ের উচ্চতা কত?,৯৪ মিটার,0
"আব্দুল চট্টোপাধ্যায় (১৯৮০ সালে খুলনা অঞ্চলে জন্মগ্রহণ করেন) একজন প্রখ্যাত অর্থনীতিবিদ ছিলেন। তাঁর অন্যতম সৃষ্টি ""রক্তকরবীর মাঠ""। ২০১৬ সালে তাঁকে একুশে পদকে ভূষিত করা হয়। ২০২০ সালে তিনি মৃত্যুবরণ করেন।",আব্দুল চট্টোপাধ্যায় পেশায় কী ছিলেন?,অর্থনীতিবিদ,1
[NULL],৩৬৮৪ ও ১২৩৮ এর যোগফল কত?,৪৯২২,1
ময়মনসিংহ জেলা বাংলাদেশের দক্ষিণবঙ্গে অবস্থিত। এর মোট আয়তন ১৬৬৮ বর্গকিলোমিটার এবং জনসংখ্যা প্রায় ১৪০০০০০। জেলাটি ১৮৩৮ সালে প্রশাসনিকভাবে প্রতিষ্ঠিত হয়। এই জেলার সর্বোচ্চ পাহাড়ের উচ্চতা ৪৬৬ মিটার।,ময়মনসিংহ জেলা কোন অঞ্চলে অবস্থিত?,দক্ষিণবঙ্গ,1
[NULL],"""ব্যাঙের সর্দি"" এর ভাবার্থ কী?",অসম্ভব ঘটনা,1
যমুনা নদী বাংলাদেশের একটি গুরুত্বপূর্ণ নদী। এর দৈর্ঘ্য প্রায় ২১২ কিলোমিটার। নদীটি মেদিনীপুর অঞ্চল থেকে উৎপন্ন হয়ে ঢাকা অঞ্চলে প্রবাহিত হয়েছে।,যমুনা নদী কোন অঞ্চল থেকে উৎপন্ন হয়েছে?,বগুড়া,0
[NULL],"১৯৫, ১৪২ ও ১৮২ সংখ্যা তিনটির গড় কত?",১৭৩,1
ল্যাবেঙ্গল সফটওয়্যার ২০০৯ সালে বাজারে আসে। এটি প্রথম তৈরি করেন নুরুল দাশগুপ্ত। সফটওয়্যারটি জাভা প্রোগ্রামিং ভাষায় লেখা হয়েছিল।,ল্যাবেঙ্গল সফটওয়্যার কত সালে বাজারে আসে?,২০২৩,0
[NULL],"৭১, ৯৩ ও ২৫০ সংখ্যা তিনটির গড় কত?",১৩০,0
পুরুলিয়া জেলা বাংলাদেশের দক্ষিণবঙ্গে অবস্থিত। এর মোট আয়তন ২২৩১ বর্গকিলোমিটার এবং জনসংখ্যা প্রায় ৩৯০০০০০। জেলাটি ১৯২০ সালে প্রশাসনিকভাবে প্রতিষ্ঠিত হয়। এই জেলার সর্বোচ্চ পাহাড়ের উচ্চতা ১৫৮ মিটার।,পুরুলিয়া জেলা কত সালে প্রতিষ্ঠিত হয়?,১৯২০,1
[NULL],৭০ ও ৩১ এর গুণফল কত?,২২১২,0
[NULL],২৮৫ ও ১৭৪৭ এর যোগফল কত?,২০০২,0
রংপুর জেলা বাংলাদেশের দক্ষিণবঙ্গে অবস্থিত। এর মোট আয়তন ৪৯৩২ বর্গকিলোমিটার এবং জনসংখ্যা প্রায় ২৯০০০০০। জেলাটি ১৯৫৭ সালে প্রশাসনিকভাবে প্রতিষ্ঠিত হয়। এই জেলার সর্বোচ্চ পাহাড়ের উচ্চতা ১৩৪ মিটার।,রংপুর জেলা কত সালে প্রতিষ্ঠিত হয়?,১৩৪ মিটার,0
ধলেশ্বরী নদী বাংলাদেশের একটি গুরুত্বপূর্ণ নদী। এর দৈর্ঘ্য প্রায় ৫৮৬ কিলোমিটার। নদীটি পুরুলিয়া অঞ্চল থেকে উৎপন্ন হয়ে টাঙ্গাইল অঞ্চলে প্রবাহিত হয়েছে।,ধলেশ্বরী নদী কোন অঞ্চল থেকে উৎপন্ন হয়েছে?,বাঁকুড়া,0
"মেহেদী বসু (১৮৫৭ সালে মেদিনীপুর অঞ্চলে জন্মগ্রহণ করেন) একজন প্রখ্যাত ভাষাবিদ ছিলেন। তাঁর অন্যতম সৃষ্টি ""শেষ প্রহর""। ১৯২৪ সালে তাঁকে জাতীয় চলচ্চিত্র পুরস্কারে ভূষিত করা হয়। ১৯৪৪ সালে তিনি মৃত্যুবরণ করেন।",মেহেদী বসু কত সালে জন্মগ্রহণ করেন?,১৮৫৭,1
"বিভূতি হক (১৯৪৪ সালে যশোর অঞ্চলে জন্মগ্রহণ করেন) একজন প্রখ্যাত বিজ্ঞানী ছিলেন। তাঁর অন্যতম সৃষ্টি ""শেষ প্রহর""। ১৯৯৫ সালে তাঁকে সাহিত্য অকাদেমি পুরস্কারে ভূষিত করা হয়। ১৯৯৬ সালে তিনি মৃত্যুবরণ করেন।",বিভূতি হক কত সালে সাহিত্য অকাদেমি পুরস্কার লাভ করেন?,১৯৮০,0
[NULL],১৬০৪ ও ১০৫৫ এর যোগফল কত?,২৬৫৭,0
নোয়াখালী জেলা বাংলাদেশের পশ্চিমাঞ্চলে অবস্থিত। এর মোট আয়তন ৬০৩৪ বর্গকিলোমিটার এবং জনসংখ্যা প্রায় ১১০০০০০। জেলাটি ১৯৪১ সালে প্রশাসনিকভাবে প্রতিষ্ঠিত হয়। এই জেলার সর্বোচ্চ পাহাড়ের উচ্চতা ৬২৮ মিটার।,নোয়াখালী জেলা-এর আয়তন কত?,৬২৮ মিটার,0
বর্ণ সফটওয়্যার ২০০০ সালে বাজারে আসে। এটি প্রথম তৈরি করেন মাহবুব হক। সফটওয়্যারটি জাভা প্রোগ্রামিং ভাষায় লেখা হয়েছিল।,বর্ণ সফটওয়্যার কত সালে বাজারে আসে?,২০০০,1
"বিভূতি তালুকদার (১৮৬৩ সালে ঢাকা অঞ্চলে জন্মগ্রহণ করেন) একজন প্রখ্যাত চিত্রশিল্পী ছিলেন। তাঁর অন্যতম সৃষ্টি ""পাথরের ফুল""। ১৯১০ সালে তাঁকে বাংলা একাডেমি পুরস্কারে ভূষিত করা হয়। ১৯১৭ সালে তিনি মৃত্যুবরণ করেন।",বিভূতি তালুকদার পেশায় কী ছিলেন?,চিত্রশিল্পী,1
সাঙ্গু নদী বাংলাদেশের একটি গুরুত্বপূর্ণ নদী। এর দৈর্ঘ্য প্রায় ৬২২ কিলোমিটার। নদীটি সিলেট অঞ্চল থেকে উৎপন্ন হয়ে বাঁকুড়া অঞ্চলে প্রবাহিত হয়েছে।,সাঙ্গু নদী-এর দৈর্ঘ্য কত?,৭৯০ কিলোমিটার,0
[NULL],"২৯৯, ৯৬ ও ২৬৫ সংখ্যা তিনটির গড় কত?",২২৪,0
বগুড়া জেলা বাংলাদেশের মধ্যাঞ্চলে অবস্থিত। এর মোট আয়তন ৪৩২৪ বর্গকিলোমিটার এবং জনসংখ্যা প্রায় ২৬০০০০০। জেলাটি ১৮২৮ সালে প্রশাসনিকভাবে প্রতিষ্ঠিত হয়। এই জেলার সর্বোচ্চ পাহাড়ের উচ্চতা ৮১২ মিটার।,বগুড়া জেলা কোন অঞ্চলে অবস্থিত?,দক্ষিণবঙ্গ,0
শব্দকল্প সফটওয়্যার ২০০২ সালে বাজারে আসে। এটি প্রথম তৈরি করেন বিভূতি তালুকদার। সফটওয়্যারটি ডেলফি প্রোগ্রামিং ভাষায় লেখা হয়েছিল।,শব্দকল্প সফটওয়্যার কত সালে বাজারে আসে?,২০০২,1
[NULL],মুহাম্মদ ইউনূস কোন সালে নোবেল শান্তি পুরস্কার লাভ করেন?,২০০০,0
"বিভূতি কবির (১৯২১ সালে বরিশাল অঞ্চলে জন্মগ্রহণ করেন) একজন প্রখ্যাত চলচ্চিত্র পরিচালক ছিলেন। তাঁর অন্যতম সৃষ্টি ""রক্তকরবীর মাঠ""। ১৯৫২ সালে তাঁকে একুশে পদকে ভূষিত করা হয়। ১৯৫২ সালে তিনি মৃত্যুবরণ করেন।",বিভূতি কবির কত সালে মৃত্যুবরণ করেন?,১৯৫২,1
[NULL],২৪৩১ ও ১৯৩১ এর যোগফল কত?,৪৩৮০,0
"সুফিয়া বসু (১৯৬৫ সালে হুগলি অঞ্চলে জন্মগ্রহণ করেন) একজন প্রখ্যাত ভাষাবিদ ছিলেন। তাঁর অন্যতম সৃষ্টি ""মৃত্তিকার ঋণ""। ১৯৯৫ সালে তাঁকে বাংলা একাডেমি পুরস্কারে ভূষিত করা হয়। ২০০৩ সালে তিনি মৃত্যুবরণ করেন।",সুফিয়া বসু কত সালে বাংলা একাডেমি পুরস্কার লাভ করেন?,১৯৯৫,1
শব্দকল্প সফটওয়্যার ২০০৮ সালে বাজারে আসে। এটি প্রথম তৈরি করেন বেগম ঘোষ। সফটওয়্যারটি সি++ প্রোগ্রামিং ভাষায় লেখা হয়েছিল।,শব্দকল্প সফটওয়্যার কে তৈরি করেন?,নীহার চট্টোপাধ্যায়,0
